GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
61,-2095.3377,-18997.9604,-3320.2334,79.91882568,-21093.2981,-3240.31457432,-24333.6126743
62,-2047.1618,-18967.2161,-3393.9835,81.84163392,-21014.3779,-3312.14186608,-24326.5197661
63,-2055.8286,-18919.964,-3388.473,82.28125584,-20975.7926,-3306.19174416,-24281.9843442
64,-2061.0316,-18901.5814,-3402.4707,82.83370536,-20962.613,-3319.63699464,-24282.2499946
65,-2032.7505,-18897.6832,-3377.1556,83.59299576,-20930.4337,-3293.56260424,-24223.9963042
66,-2050.4343,-18883.4741,-3413.3143,84.51944712,-20933.9084,-3328.79485288,-24262.7032529
67,-2081.6444,-18843.8482,-3438.3377,83.776968,-20925.4926,-3354.560732,-24280.053332
68,-2077.157,-18839.439,-3432.3035,82.93331376,-20916.596,-3349.37018624,-24265.9661862
69,-2047.1593,-18835.7072,-3497.2875,85.2301044,-20882.8665,-3412.0573956,-24294.9238956
70,-2066.7702,-18758.1188,-3501.3028,84.25215936,-20824.889,-3417.05064064,-24241.9396406
71,-2057.3442,-18774.444,-3509.816,85.09463064,-20831.7882,-3424.72136936,-24256.5095694
72,-2068.4647,-18911.8281,-3441.6011,83.68479576,-20980.2928,-3357.91630424,-24338.2091042
73,-2065.7508,-18824.8665,-3448.507,84.3594084,-20890.6173,-3364.1475916,-24254.7648916
74,-2083.2978,-18837.5754,-3487.78,84.52169352,-20920.8732,-3403.25830648,-24324.1315065
75,-2055.8807,-18924.3147,-3425.135,83.99532816,-20980.1954,-3341.13967184,-24321.3350718
76,-2066.6405,-18887.0139,-3410.9418,82.93679064,-20953.6544,-3328.00500936,-24281.6594094
77,-2077.3988,-18894.2395,-3455.618,82.73924496,-20971.6383,-3372.87875504,-24344.517055
78,-2068.6257,-18948.2864,-3459.5151,83.8303416,-21016.9121,-3375.6847584,-24392.5968584
79,-2055.3049,-18880.6064,-3484.9011,83.80624032,-20935.9113,-3401.09485968,-24337.0061597
80,-2056.2158,-18889.4955,-3418.1299,83.15958024,-20945.7113,-3334.97031976,-24280.6816198
81,-2085.6874,-18853.5347,-3469.7796,82.20213792,-20939.2221,-3387.57746208,-24326.7995621
82,-2061.4945,-18957.9847,-3402.2582,83.742156,-21019.4792,-3318.516044,-24337.995244
83,-2079.1014,-18982.4072,-3377.4884,82.79145576,-21061.5086,-3294.69694424,-24356.2055442
84,-2028.5278,-18979.0793,-3418.8024,83.85145344,-21007.6071,-3334.95094656,-24342.5580466
85,-2064.9803,-18923.3276,-3392.5843,84.8981988,-20988.3079,-3307.6861012,-24295.9940012
86,-2046.0122,-18893.5048,-3399.133,84.26617128,-20939.517,-3314.86682872,-24254.3838287
87,-2034.037,-18884.4246,-3429.3735,86.25738456,-20918.4616,-3343.11611544,-24261.5777154
88,-2052.4912,-18904.0846,-3399.1378,83.45101968,-20956.5758,-3315.68678032,-24272.2625803
89,-2043.5467,-18944.3173,-3414.5037,84.43945872,-20987.864,-3330.06424128,-24317.9282413
90,-2057.8191,-18869.943,-3450.4445,83.21101776,-20927.7621,-3367.23348224,-24294.9955822
91,-2084.5983,-18876.4078,-3468.1285,81.84417768,-20961.0061,-3386.28432232,-24347.2904223
92,-2079.9653,-18830.5648,-3467.0609,82.7585208,-20910.5301,-3384.3023792,-24294.8324792
93,-2027.1106,-19044.6508,-3360.8917,83.93670648,-21071.7614,-3276.95499352,-24348.7163935
94,-2076.3048,-18991.2132,-3384.8648,82.35403056,-21067.518,-3302.51076944,-24370.0287694
95,-2055.3696,-18997.4582,-3398.6116,81.96099624,-21052.8278,-3316.65060376,-24369.4784038
96,-2085.9888,-18830.8292,-3519.7433,80.92625832,-20916.818,-3438.81704168,-24355.6350417
97,-2074.3948,-18843.4573,-3498.5672,81.0386568,-20917.8521,-3417.5285432,-24335.3806432
98,-2065.0117,-18873.4056,-3517.557,83.17293912,-20938.4173,-3434.38406088,-24372.8013609
99,-2060.1931,-18923.115,-3474.9875,84.61342152,-20983.3081,-3390.37407848,-24373.6821785
100,-2061.0131,-18833.4377,-3535.2313,84.2771772,-20894.4508,-3450.9541228,-24345.4049228
101,-2055.1621,-18836.6649,-3465.3503,84.7110456,-20891.827,-3380.6392544,-24272.4662544
102,-2067.3884,-18929.4576,-3502.6748,83.40272136,-20996.846,-3419.27207864,-24416.1180786
103,-2060.4525,-18917.5627,-3496.0294,82.71504216,-20978.0152,-3413.31435784,-24391.3295578
104,-2069.5405,-18934.3882,-3467.0996,82.49127336,-21003.9287,-3384.60832664,-24388.5370266
105,-2071.3096,-18864.209,-3496.3883,84.73724928,-20935.5186,-3411.65105072,-24347.1696507
106,-2057.4419,-19052.1711,-3412.0876,84.10405248,-21109.613,-3327.98354752,-24437.5965475
107,-2063.1898,-18987.982,-3450.7795,83.87667504,-21051.1718,-3366.90282496,-24418.074625
108,-2064.7743,-18989.7789,-3430.5772,83.52880704,-21054.5532,-3347.04839296,-24401.601593
109,-2058.3067,-19028.1173,-3460.4904,84.27677256,-21086.424,-3376.21362744,-24462.6376274
110,-2054.4319,-18895.4511,-3501.1322,83.62586232,-20949.883,-3417.50633768,-24367.3893377
111,-2076.3974,-18919.2179,-3444.707,84.0291444,-20995.6153,-3360.6778556,-24356.2931556
112,-2053.3777,-18940.0856,-3486.1315,84.46405608,-20993.4633,-3401.66744392,-24395.1307439
113,-2042.8547,-18958.06,-3469.1898,84.20940576,-21000.9147,-3384.98039424,-24385.8950942
114,-2059.7975,-18960.376,-3475.0842,85.05236088,-21020.1735,-3390.03183912,-24410.2053391
115,-2034.5687,-18972.8162,-3440.7839,83.24659152,-21007.3849,-3357.53730848,-24364.9222085
116,-2078.4143,-18883.9009,-3503.5085,84.25751904,-20962.3152,-3419.25098096,-24381.566181
117,-2074.5396,-18844.9056,-3532.1556,84.26979648,-20919.4452,-3447.88580352,-24367.3310035
118,-2026.8366,-18916.1503,-3546.3809,86.17080528,-20942.9869,-3460.21009472,-24403.1969947
119,-2066.7408,-18818.1507,-3561.8408,84.67996824,-20884.8915,-3477.16083176,-24362.0523318
120,-2087.9867,-18736.6289,-3569.9501,83.29404744,-20824.6156,-3486.65605256,-24311.2716526
121,-2068.9921,-18898.5525,-3544.9256,82.60177176,-20967.5446,-3462.32382824,-24429.8684282
122,-2080.8167,-18923.054,-3546.5999,83.58779448,-21003.8707,-3463.01210552,-24466.8828055
123,-2070.1509,-18865.6787,-3534.4096,82.98205632,-20935.8296,-3451.42754368,-24387.2571437
124,-2042.7029,-18909.3407,-3526.1513,85.43732112,-20952.0436,-3440.71397888,-24392.7575789
125,-2064.0663,-18910.5861,-3527.3328,83.82614256,-20974.6524,-3443.50665744,-24418.1590574
126,-2071.7589,-18881.5733,-3485.4545,82.8390996,-20953.3322,-3402.6154004,-24355.9476004
127,-2102.2582,-18908.6169,-3533.3305,82.2365352,-21010.8751,-3451.0939648,-24461.9690648
128,-2068.4709,-18991.5878,-3447.7772,82.83115224,-21060.0587,-3364.94604776,-24425.0047478
129,-2077.4169,-18973.7322,-3464.091,82.54999944,-21051.1491,-3381.54100056,-24432.6901006
130,-2080.1354,-18951.5009,-3459.0352,82.87228152,-21031.6363,-3376.16291848,-24407.7992185
131,-2070.1719,-18965.9062,-3481.4573,82.71968112,-21036.0781,-3398.73761888,-24434.8157189
132,-2065.0271,-18903.5001,-3471.9648,84.50845776,-20968.5272,-3387.45634224,-24355.9835422
133,-2080.2474,-19047.7431,-3430.3598,81.48520368,-21127.9905,-3348.87459632,-24476.8650963
134,-2097.0965,-19031.2908,-3472.2408,81.1041336,-21128.3873,-3391.1366664,-24519.5239664
135,-2093.9681,-18873.5553,-3529.719,81.8567244,-20967.5234,-3447.8622756,-24415.3856756
136,-2058.1858,-18871.9659,-3534.5118,81.60262632,-20930.1517,-3452.90917368,-24383.0608737
137,-2080.7526,-18914.4388,-3531.1114,82.60883496,-20995.1914,-3448.50256504,-24443.693965
138,-2086.0,-18931.1443,-3510.4512,83.15395704,-21017.1443,-3427.29724296,-24444.441543
139,-2051.7422,-18899.5152,-3508.8794,84.34717992,-20951.2574,-3424.53222008,-24375.7896201
140,-2061.2683,-18918.3299,-3545.6421,82.74293784,-20979.5982,-3462.89916216,-24442.4973622
141,-2084.9849,-18859.2001,-3533.1353,83.15151408,-20944.185,-3449.98378592,-24394.1687859
142,-2059.0601,-18896.8095,-3535.7821,83.35412424,-20955.8696,-3452.42797576,-24408.2975758
143,-2096.4854,-18853.4968,-3560.6232,83.85637176,-20949.9822,-3476.76682824,-24426.7490282
144,-2073.9474,-18939.8039,-3495.1128,83.57851008,-21013.7513,-3411.53428992,-24425.2855899
145,-2077.8404,-18965.4893,-3480.7566,83.57271264,-21043.3297,-3397.18388736,-24440.5135874
146,-2066.6634,-18891.4498,-3522.467,84.20152824,-20958.1132,-3438.26547176,-24396.3786718
147,-2054.8786,-18976.3152,-3453.5111,83.05087392,-21031.1938,-3370.46022608,-24401.6540261
148,-2065.9517,-18974.3029,-3452.7881,82.06868952,-21040.2546,-3370.71941048,-24410.9740105
149,-2061.6469,-18959.0617,-3491.7481,84.11665968,-21020.7086,-3407.63144032,-24428.3400403
150,-2100.6838,-18977.405,-3439.8232,81.71157456,-21078.0888,-3358.11162544,-24436.2004254
151,-2056.3839,-18917.6647,-3492.3743,82.1469528,-20974.0486,-3410.2273472,-24384.2759472
152,-2057.3498,-18941.8263,-3436.4528,83.32761672,-20999.1761,-3353.12518328,-24352.3012833
153,-2066.0697,-19014.5063,-3458.1111,82.73339496,-21080.576,-3375.37770504,-24455.953705
154,-2069.7689,-18959.4607,-3498.8604,83.85044472,-21029.2296,-3415.00995528,-24444.2395553
155,-2041.6757,-18955.1192,-3521.9603,82.45878984,-20996.7949,-3439.50151016,-24436.2964102
156,-2087.1697,-18859.3108,-3544.7204,83.8512036,-20946.4805,-3460.8691964,-24407.3496964
157,-2070.0137,-18896.7173,-3489.2439,84.02386248,-20966.731,-3405.22003752,-24371.9510375
158,-2044.9938,-18885.6195,-3537.5422,84.57164568,-20930.6133,-3452.97055432,-24383.5838543
159,-2056.3746,-18948.6389,-3486.0326,84.54186504,-21005.0135,-3401.49073496,-24406.504235
160,-2067.6999,-19000.8894,-3424.4739,83.15836704,-21068.5893,-3341.31553296,-24409.904833
161,-2078.4331,-18990.6979,-3454.1516,82.59326352,-21069.131,-3371.55833648,-24440.6893365
162,-2034.193,-19027.83,-3424.2002,83.49785856,-21062.023,-3340.70234144,-24402.7253414
163,-2087.8884,-18964.6414,-3463.1832,82.68560064,-21052.5298,-3380.49759936,-24433.0273994
164,-2081.8688,-18954.6366,-3468.304,83.42770608,-21036.5054,-3384.87629392,-24421.3816939
165,-2046.1945,-18906.901,-3499.7485,84.08789928,-20953.0955,-3415.66060072,-24368.7561007
166,-2065.7382,-19040.4331,-3430.9666,82.44872928,-21106.1713,-3348.51787072,-24454.6891707
167,-2070.6122,-18991.007,-3433.9612,84.20068512,-21061.6192,-3349.76051488,-24411.3797149
168,-2053.5744,-19001.2564,-3439.5989,83.74780296,-21054.8308,-3355.85109704,-24410.681897
169,-2043.9234,-19014.6045,-3451.7051,83.71674792,-21058.5279,-3367.98835208,-24426.5162521
170,-2044.6454,-18974.4722,-3429.7509,84.19751784,-21019.1176,-3345.55338216,-24364.6709822
171,-2047.844,-18983.9841,-3485.9506,84.34392912,-21031.8281,-3401.60667088,-24433.4347709
172,-2087.3142,-18915.0718,-3496.6525,83.18074392,-21002.386,-3413.47175608,-24415.8577561
173,-2078.4011,-18970.4389,-3493.3754,84.2734728,-21048.84,-3409.1019272,-24457.9419272
174,-2034.0384,-18947.6868,-3507.2738,86.51104632,-20981.7252,-3420.76275368,-24402.4879537
175,-2062.5153,-18883.9335,-3522.8351,82.82210472,-20946.4488,-3440.01299528,-24386.4617953
176,-2074.2965,-18957.0346,-3444.2843,82.0526868,-21031.3311,-3362.2316132,-24393.5627132
177,-2101.4608,-18953.0954,-3476.4109,81.98492832,-21054.5562,-3394.42597168,-24448.9821717
178,-2082.7249,-18953.2687,-3501.2848,81.54387576,-21035.9936,-3419.74092424,-24455.7345242
179,-2081.5251,-18870.7661,-3546.1202,83.49828552,-20952.2912,-3462.62191448,-24414.9131145
180,-2092.4398,-18870.951,-3524.7542,83.66555952,-20963.3908,-3441.08864048,-24404.4794405
181,-2067.0972,-18905.9103,-3519.0582,83.80455624,-20973.0075,-3435.25364376,-24408.2611438
182,-2050.7232,-18970.3687,-3500.1167,83.8542312,-21021.0919,-3416.2624688,-24437.3543688
183,-2062.794,-19055.7376,-3413.9784,82.75804776,-21118.5316,-3331.22035224,-24449.7519522
184,-2066.5348,-19015.4556,-3452.4705,82.49694624,-21081.9904,-3369.97355376,-24451.9639538
185,-2076.3346,-18992.8069,-3445.3454,82.86164712,-21069.1415,-3362.48375288,-24431.6252529
186,-2064.042,-18947.1934,-3493.1781,82.98894168,-21011.2354,-3410.18915832,-24421.4245583
187,-2076.4549,-18949.4068,-3456.7423,82.18314504,-21025.8617,-3374.55915496,-24400.420855
188,-2059.4084,-19076.9045,-3360.4075,80.80806816,-21136.3129,-3279.59943184,-24415.9123318
189,-2060.034,-19094.6882,-3357.277,80.35574472,-21154.7222,-3276.92125528,-24431.6434553
190,-2078.4843,-19112.6015,-3394.415,82.30914432,-21191.0858,-3312.10585568,-24503.1916557
191,-2084.4646,-19004.1018,-3435.1339,82.25990352,-21088.5664,-3352.87399648,-24441.4403965
192,-2074.1031,-19013.0993,-3391.6646,81.47747016,-21087.2024,-3310.18712984,-24397.3895298
193,-2087.3317,-19040.2397,-3377.2378,80.103042,-21127.5714,-3297.134758,-24424.706158
194,-2075.346,-19097.0522,-3386.5756,82.18387656,-21172.3982,-3304.39172344,-24476.7899234
195,-2050.4071,-19088.2902,-3369.5615,82.36599408,-21138.6973,-3287.19550592,-24425.8928059
196,-2093.725,-18980.8637,-3427.2112,81.91541016,-21074.5887,-3345.29578984,-24419.8844898
197,-2057.8725,-19020.9473,-3390.1651,81.961056,-21078.8198,-3308.204044,-24387.023844
198,-2092.7,-19001.8126,-3408.7401,82.8884772,-21094.5126,-3325.8516228,-24420.3642228
199,-2087.7783,-19003.1047,-3429.8872,83.73053304,-21090.883,-3346.15666696,-24437.039667
200,-2069.9378,-19023.8845,-3417.6744,81.67212,-21093.8223,-3336.00228,-24429.82458
201,-2068.232,-19066.0484,-3360.6498,82.42498872,-21134.2804,-3278.22481128,-24412.5052113
202,-2077.8638,-19134.3182,-3348.6512,82.33408152,-21212.182,-3266.31711848,-24478.4991185
203,-2077.0948,-19045.8756,-3385.3298,82.39694472,-21122.9704,-3302.93285528,-24425.9032553
204,-2051.7499,-19125.173,-3331.4753,82.40220432,-21176.9229,-3249.07309568,-24425.9959957
205,-2081.6225,-19070.7325,-3383.941,82.855476,-21152.355,-3301.085524,-24453.440524
206,-2070.2895,-19034.604,-3406.1476,82.91079576,-21104.8935,-3323.23680424,-24428.1303042
207,-2062.9598,-19042.5524,-3435.8375,82.9448496,-21105.5122,-3352.8926504,-24458.4048504
208,-2063.3772,-18984.8119,-3453.2317,83.46649104,-21048.1891,-3369.76520896,-24417.954309
209,-2049.2449,-19010.5956,-3457.4434,84.63196224,-21059.8405,-3372.81143776,-24432.6519378
210,-2072.5722,-18976.1348,-3492.9546,83.6377308,-21048.707,-3409.3168692,-24458.0238692
211,-2080.8869,-18964.0725,-3462.2011,81.50126688,-21044.9594,-3380.69983312,-24425.6592331
212,-2075.2301,-18917.1745,-3504.7502,85.27446936,-20992.4046,-3419.47573064,-24411.8803306
213,-2069.8503,-19035.7874,-3471.6113,82.01329272,-21105.6377,-3389.59800728,-24495.2357073
214,-2071.8881,-18994.6817,-3470.455,84.78136872,-21066.5698,-3385.67363128,-24452.2434313
215,-2068.7875,-18940.3379,-3487.2555,83.85234192,-21009.1254,-3403.40315808,-24412.5285581
216,-2067.8758,-18903.3796,-3497.1335,83.43678168,-20971.2554,-3413.69671832,-24384.9521183
217,-2051.287,-18899.5734,-3499.7213,82.62394128,-20950.8604,-3417.09735872,-24367.9577587
218,-2057.3359,-18930.5779,-3498.7784,83.31584904,-20987.9138,-3415.46255096,-24403.376351
219,-2099.1884,-18896.2894,-3512.3095,84.03337296,-20995.4778,-3428.27612704,-24423.753927
220,-2072.965,-18890.4075,-3500.2346,81.35391024,-20963.3725,-3418.88068976,-24382.2531898
221,-2093.9507,-18944.7775,-3502.0469,82.88915328,-21038.7282,-3419.15774672,-24457.8859467
222,-2088.5698,-18954.8397,-3453.3601,82.80399888,-21043.4095,-3370.55610112,-24413.9656011
223,-2078.129,-18912.159,-3486.7678,82.23926184,-20990.288,-3404.52853816,-24394.8165382
224,-2075.9326,-19087.5475,-3394.0513,82.71330048,-21163.4801,-3311.33799952,-24474.8180995
225,-2092.5183,-18960.8354,-3458.6411,81.71234784,-21053.3537,-3376.92875216,-24430.2824522
226,-2078.0789,-19027.4298,-3398.8884,82.82459664,-21105.5087,-3316.06380336,-24421.5725034
227,-2095.81,-18999.6846,-3420.4285,82.47536496,-21095.4946,-3337.95313504,-24433.447735
228,-2030.5272,-19008.3695,-3462.1983,83.64613608,-21038.8967,-3378.55216392,-24417.4488639
229,-2068.4701,-19006.1872,-3489.5834,83.7340236,-21074.6573,-3405.8493764,-24480.5066764
230,-2039.4116,-18959.094,-3449.3704,82.05090336,-20998.5056,-3367.31949664,-24365.8250966
231,-2091.5173,-18901.592,-3500.9064,84.90286296,-20993.1093,-3416.00353704,-24409.112837
232,-2063.1482,-18955.5438,-3440.3265,83.1192732,-21018.692,-3357.2072268,-24375.8992268
233,-2076.6489,-18919.8607,-3476.4994,84.71600928,-20996.5096,-3391.78339072,-24388.2929907
234,-2066.7642,-19059.6194,-3415.381,82.45240128,-21126.3836,-3332.92859872,-24459.3121987
235,-2055.3748,-19034.2321,-3438.6446,83.18115288,-21089.6069,-3355.46344712,-24445.0703471
236,-2064.8051,-19028.7587,-3415.5563,82.7003772,-21093.5638,-3332.8559228,-24426.4197228
237,-2066.8047,-19047.4147,-3414.4886,82.89051552,-21114.2194,-3331.59808448,-24445.8174845
238,-2096.4513,-18980.3996,-3447.5011,82.62650952,-21076.8509,-3364.87459048,-24441.7254905
239,-2061.8664,-18967.6159,-3466.877,83.70105192,-21029.4823,-3383.17594808,-24412.6582481
240,-2064.1435,-18996.6617,-3447.8462,83.09078784,-21060.8052,-3364.75541216,-24425.5606122
241,-2091.5289,-19002.0023,-3472.9718,83.10568176,-21093.5312,-3389.86611824,-24483.3973182
242,-2064.3446,-18956.4594,-3485.0481,82.07827128,-21020.804,-3402.96982872,-24423.7738287
243,-2096.0033,-18953.1561,-3485.6057,81.39579408,-21049.1594,-3404.20990592,-24453.3693059
244,-2040.4578,-18985.7027,-3461.3438,83.84909616,-21026.1605,-3377.49470384,-24403.6552038
245,-2055.2886,-18994.2454,-3463.6543,84.29191632,-21049.534,-3379.36238368,-24428.8963837
246,-2077.6412,-18812.7414,-3523.8747,83.73777408,-20890.3826,-3440.13692592,-24330.5195259
247,-2064.8318,-18974.5208,-3489.1626,82.08255456,-21039.3526,-3407.08004544,-24446.4326454
248,-2096.4883,-18884.8236,-3459.8707,81.64317888,-20981.3119,-3378.22752112,-24359.5394211
249,-2083.8786,-18976.4681,-3454.574,81.42157872,-21060.3467,-3373.15242128,-24433.4991213
250,-2129.9075,-18992.985,-3436.4318,80.02008648,-21122.8925,-3356.41171352,-24479.3042135
251,-2070.9132,-18948.0199,-3467.8194,79.73919864,-21018.9331,-3388.08020136,-24407.0133014
252,-2041.946,-18981.5177,-3421.31,83.83263984,-21023.4637,-3337.47736016,-24360.9410602
253,-2035.6595,-19098.8951,-3410.9002,83.2779864,-21134.5546,-3327.6222136,-24462.1768136
254,-2053.0571,-18927.7595,-3502.1771,84.18377232,-20980.8166,-3417.99332768,-24398.8099277
255,-2060.1363,-18984.3211,-3458.4147,83.71793736,-21044.4574,-3374.69676264,-24419.1541626
256,-2050.5549,-18975.1079,-3493.9162,82.66873176,-21025.6628,-3411.24746824,-24436.9102682
257,-2074.462,-18946.0033,-3456.55,83.27864016,-21020.4653,-3373.27135984,-24393.7366598
258,-2041.2349,-18930.59,-3522.2635,84.21765336,-20971.8249,-3438.04584664,-24409.8707466
259,-2043.3875,-19020.6413,-3445.523,84.56026896,-21064.0288,-3360.96273104,-24424.991531
260,-2036.5884,-19035.1241,-3429.6606,83.840166,-21071.7125,-3345.820434,-24417.532934
261,-2058.8184,-18943.231,-3475.5182,82.31323464,-21002.0494,-3393.20496536,-24395.2543654
262,-2048.4432,-19111.3013,-3393.0408,82.35049968,-21159.7445,-3310.69030032,-24470.4348003
263,-2074.0962,-19074.0217,-3346.7648,82.94013936,-21148.1179,-3263.82466064,-24411.9425606
264,-2059.8997,-19124.9347,-3324.6467,80.2229796,-21184.8344,-3244.4237204,-24429.2581204
265,-2068.1355,-19029.1727,-3425.4108,81.7913232,-21097.3082,-3343.6194768,-24440.9276768
266,-2059.2068,-19087.6602,-3321.7205,83.28612024,-21146.867,-3238.43437976,-24385.3013798
267,-2110.2696,-19004.3749,-3411.9687,79.6155444,-21114.6445,-3332.3531556,-24446.9976556
